lad,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,
Aberdeenshire,101818.9331,111351.6113,145371.4753,173220.4283,170652.0229,172915.5895,174067.8302,175488.4744,170639.7192,185550.828,02/01/2005,197984.8268,188857.4926,
Adur,182982.0385,181829.1771,198952.1547,230177.5095,184561.5305,195702.7975,200731.7597,204203.6986,210532.6405,229828.8444,03/01/2005,282890.2383,303712.4397,
Allerdale,114229.1555,127490.549,141386.0663,149609.1677,133182.7833,138157.1762,144846.5521,130903.8774,138328.662,136841.4078,04/01/2005,138535.8898,150283.6612,
Amber Valley,126505.2555,130713.5065,143630.6202,148556.8389,129713.628,130104.1174,128749.353,129101.6047,132455.4761,135528.6277,05/01/2005,152483.1655,154432.5422,
Angus,79909.06789,94523.1594,115925.1825,144507.9318,123654.6921,131434.7276,128855.5661,130061.8897,125532.3815,135170.3182,06/01/2005,139368.009,145185.0011,
Antrim and Newtownabbey,114851.5283,130476.1978,199003.248,198381.7553,140436.2034,140651.103,122513.6724,108007.6112,102232.8835,107984.1659,07/01/2005,120735.3946,130556.7422,
Argyll and Bute,104915.3261,106421.0731,139417.9291,133503.804,127316.9097,126861.6888,133304.6436,125179.2721,120629.5145,132384.674,08/01/2005,128320.8613,128667.5235,
Armagh Banbridge and Craigavon,100785.146,120090.8527,194409.8259,184485.7738,125125.8148,120422.6219,108573.7212,94043.78342,85164.56296,91433.88465,09/01/2005,107699.469,111137.3259,
Arun,188348.3874,190413.009,204912.1121,227329.0516,191606.5947,202585.5307,196763.1884,199704.6056,204341.0069,215995.9376,10/01/2005,252693.2682,268020.2519,
Ashfield,106495.4532,110342.4902,118677.3105,119695.5946,103888.8731,106079.0233,102815.7658,104518.8896,100821.2427,106658.3647,11/01/2005,120988.7694,128599.8842,
Ashford,181247.225,191782.7239,210975.4139,217227.99,191485.2797,193019.3605,194326.303,197206.8002,204552.6872,213009.0034,12/01/2005,243558.9265,274724.3594,
Aylesbury Vale,202033.9961,204669.9689,222886.2855,238289.9568,204061.3819,218071.7151,218065.7769,218494.3272,225410.1753,240506.4228,13/01/2005,291436.9112,317962.2607,
Babergh,183258.7376,179060.1114,201894.9221,208485.9939,171850.488,191390.2353,191676.8001,196461.0114,197778.3673,201359.7965,14/01/2005,252423.6951,269601.776,
Barking and Dagenham,164484.085,162339.9562,176577.4365,194235.4516,166798.1275,162905.2109,163821.2893,163899.0205,167918.7606,184883.6549,15/01/2005,258757.8919,283521.1038,
Barnet,282820.1966,282333.5446,306483.8527,344479.6519,294597.595,316925.7401,337574.8166,351280.0438,362880.049,398384.3422,16/01/2005,512166.3092,530647.2645,
Barnsley,97260.63217,106407.3929,116670.7289,120484.9043,109991.2386,107300.7946,104276.1278,103313.6116,99868.66954,103198.4015,17/01/2005,108219.3627,109621.9795,
Barrow-in-Furness,74559.02662,87570.92739,102853.4412,112161.4314,96079.68841,105567.7217,98514.90541,92595.77694,96471.35377,96684.54976,18/01/2005,108078.6706,112517.2534,
