lad_code,lad,seventeen,color
S12000034,Aberdeenshire,188857.49,#ff4d4d
E07000223,Adur,303712.44,#800000
E07000026,Allerdale,150283.66,#ff8080
E07000032,Amber Valley,154432.54,#ff8080
S12000041,Angus,145185,#ffb3b3
N09000001,Antrim and Newtownabbey,130556.74,#ffb3b3
S12000035,Argyll and Bute,128667.52,#ffb3b3
N09000002,Armagh Banbridge and Craigavon,111137.33,#ffcccc
E07000224,Arun,268020.25,#b30000
E07000170,Ashfield,128599.88,#ffb3b3
E07000105,Ashford,274724.36,#b30000
E07000004,Aylesbury Vale,317962.26,#800000
E07000200,Babergh,269601.78,#b30000
E09000002,Barking and Dagenham,283521.1,#990000
E09000003,Barnet,530647.26,#330000
E08000016,Barnsley,109621.98,#ffcccc
E07000027,Barrow-in-Furness,112517.25,#ffcccc
E07000066,Basildon,297793.78,#990000
E07000084,Basingstoke and Deane,300854.38,#800000
E07000171,Bassetlaw,146416.95,#ffb3b3
E06000022,Bath and North East Somerset,324602.54,#800000
E06000055,Bedford,272437.92,#b30000
E07000027,Belfast,118692.48,#ffcccc
E07000066,Bexley,330489.43,#660000
E07000084,Birmingham,165826.33,#ff8080
E07000171,Blaby,202254.08,#ff1a1a
E06000008,Blackburn with Darwen,104869.16,#ffcccc
E06000009,Blackpool,105170.39,#ffcccc
W06000019,Blaenau Gwent,78641.2,#ffe6e6
E07000033,Bolsover,114753.34,#ffcccc
E08000001,Bolton,124581.38,#ffcccc
E07000136,Boston,138470.97,#ffb3b3
E06000028,Bournemouth,233282.41,#cc0000
E06000036,Bracknell Forest,346786.44,#660000
E08000032,Bradford,129569.01,#ffb3b3
E07000067,Braintree,268132.43,#b30000
E07000143,Breckland,213004.46,#ff1a1a
E09000005,Brent,469493.6,#330000
E07000068,Brentwood,407598.21,#330000
W06000013,Bridgend,138840.26,#ffb3b3
E06000043,Brighton and Hove,350038.5,#660000
E07000144,Broadland,244733.95,#cc0000
E09000006,Bromley,439150.09,#330000
E07000234,Bromsgrove,257808.75,#b30000
E07000095,Broxbourne,343438.73,#660000
E07000172,Broxtowe,167008.31,#ff8080
E10000002,Buckinghamshire,396341.98,#330000
E07000117,Burnley,75197.22,#ffe6e6
E08000002,Bury,153272.24,#ff8080
W06000018,Caerphilly,119311.92,#ffcccc
E08000033,Calderdale,127898.26,#ffb3b3
E07000008,Cambridge,426596.39,#330000
E10000003,Cambridgeshire,278397.11,#990000
E09000007,Camden,848748.15,#330000
E07000192,Cannock Chase,153442.05,#ff8080
E07000106,Canterbury,281260.91,#990000
W06000015,Cardiff,190335.92,#ff4d4d
E07000028,Carlisle,133119.31,#ffb3b3
W06000010,Carmarthenshire,133844.71,#ffb3b3
E07000069,Castle Point,290800.77,#990000
