Old LA Code,New LA Code,LA Name,seventeen
301,E09000002,Barking and Dagenham,"£188,857.49"
302,E09000003,Barnet,"£303,712.44"
370,E08000016,Barnsley,"£150,283.66"
800,E06000022,Bath and North East Somerset,"£154,432.54"
822,E06000055,Bedford,"£145,185.00"
303,E09000004,Bexley,"£130,556.74"
330,E08000025,Birmingham,"£128,667.52"
100,E07000171,Blaby,"£111,137.33"
889,E06000008,Blackburn with Darwen,"£268,020.25"
890,E06000009,Blackpool,"£128,599.88"
350,E08000001,Bolton,"£274,724.36"
837,E06000028,Bournemouth,"£317,962.26"
867,E06000036,Bracknell Forest,"£269,601.78"
380,E08000032,Bradford,"£283,521.10"
304,E09000005,Brent,"£530,647.26"
846,E06000043,Brighton and Hove,"£109,621.98"
801,E06000023,"Bristol, City of","£112,517.25"
305,E09000006,Bromley,"£297,793.78"
825,E10000002,Buckinghamshire,"£300,854.38"
351,E08000002,Bury,"£146,416.95"
381,E08000033,Calderdale,"£324,602.54"
873,E10000003,Cambridgeshire,"£272,437.92"
202,E09000007,Camden,"£118,692.48"
823,E06000056,Central Bedfordshire,"£330,489.43"
895,E06000049,Cheshire East,"£165,826.33"
896,E06000050,Cheshire West and Chester,"£202,254.08"
201,E09000001,City of London,"£104,869.16"
908,E06000052,Cornwall,"£105,170.39"
331,E08000026,Coventry,"£78,641.20"
306,E09000008,Croydon,"£114,753.34"
909,E10000006,Cumbria,"£124,581.38"
841,E06000005,Darlington,"£138,470.97"
831,E06000015,Derby,"£233,282.41"
830,E10000007,Derbyshire,"£346,786.44"
878,E10000008,Devon,"£129,569.01"
371,E08000017,Doncaster,"£268,132.43"
835,E10000009,Dorset,"£213,004.46"
332,E08000027,Dudley,"£469,493.60"
840,E06000047,Durham,"£407,598.21"
307,E09000009,Ealing,"£138,840.26"
811,E06000011,East Riding of Yorkshire,"£350,038.50"
845,E10000011,East Sussex,"£244,733.95"
308,E09000010,Enfield,"£439,150.09"
881,E10000012,Essex,"£257,808.75"
390,E08000020,Gateshead,"£343,438.73"
916,E10000013,Gloucestershire,"£167,008.31"
203,E09000011,Greenwich,"£396,341.98"
204,E09000012,Hackney,"£75,197.22"
876,E06000006,Halton,"£153,272.24"
205,E09000013,Hammersmith and Fulham,"£119,311.92"
850,E10000014,Hampshire,"£127,898.26"
309,E09000014,Haringey,"£426,596.39"
310,E09000015,Harrow,"£278,397.11"
805,E06000001,Hartlepool,"£848,748.15"
311,E09000016,Havering,"£153,442.05"
884,E06000019,Herefordshire,"£281,260.91"
919,E10000015,Hertfordshire,"£190,335.92"
312,E09000017,Hillingdon,"£133,119.31"
313,E09000018,Hounslow,"£133,844.71"
921,E06000046,Isle of Wight,"£290,800.77"
420,E06000053,Isles of Scilly,"£129,174.70"
206,E09000019,Islington,"£293,240.41"
207,E09000020,Kensington and Chelsea,"£171,289.78"
886,E10000016,Kent,"£198,744.25"
810,E06000010,"Kingston upon Hull, City of","£312,861.82"
314,E09000021,Kingston upon Thames,"£249,360.34"
382,E08000034,Kirklees,"£285,609.32"
340,E08000011,Knowsley,"£205,815.99"
