lad_code,lad,seventeen,color
S12000034,Aberdeenshire,"188,857.49",#ff4d4d
E07000223,Adur,"303,712.44",#800000
E07000026,Allerdale,"150,283.66",#ff8080
E07000032,Amber Valley,"154,432.54",#ff8080
S12000041,Angus,"145,185.00",#ffb3b3
N09000001,Antrim and Newtownabbey,"130,556.74",#ffb3b3
S12000035,Argyll and Bute,"128,667.52",#ffb3b3
N09000002,Armagh Banbridge and Craigavon,"111,137.33",#ffcccc
E07000224,Arun,"268,020.25",#b30000
E07000170,Ashfield,"128,599.88",#ffb3b3
E07000105,Ashford,"274,724.36",#b30000
E07000004,Aylesbury Vale,"317,962.26",#800000
E07000200,Babergh,"269,601.78",#b30000
E09000002,Barking and Dagenham,"283,521.10",#990000
E09000003,Barnet,"530,647.26",#330000
E08000016,Barnsley,"109,621.98",#ffcccc
E07000027,Barrow-in-Furness,"112,517.25",#ffcccc
E07000066,Basildon,"297,793.78",#990000
E07000084,Basingstoke and Deane,"300,854.38",#800000
E07000171,Bassetlaw,"146,416.95",#ffb3b3
E06000022,Bath and North East Somerset,"324,602.54",#800000
E06000055,Bedford,"272,437.92",#b30000
E07000027,Belfast,"118,692.48",#ffcccc
E07000066,Bexley,"330,489.43",#660000
E07000084,Birmingham,"165,826.33",#ff8080
E07000171,Blaby,"202,254.08",#ff1a1a
E06000008,Blackburn with Darwen,"104,869.16",#ffcccc
E06000009,Blackpool,"105,170.39",#ffcccc
W06000019,Blaenau Gwent,"78,641.20",#ffe6e6
E07000033,Bolsover,"114,753.34",#ffcccc
E08000001,Bolton,"124,581.38",#ffcccc
E07000136,Boston,"138,470.97",#ffb3b3
E06000028,Bournemouth,"233,282.41",#cc0000
E06000036,Bracknell Forest,"346,786.44",#660000
E08000032,Bradford,"129,569.01",#ffb3b3
E07000067,Braintree,"268,132.43",#b30000
E07000143,Breckland,"213,004.46",#ff1a1a
E09000005,Brent,"469,493.60",#330000
E07000068,Brentwood,"407,598.21",#330000
W06000013,Bridgend,"138,840.26",#ffb3b3
E06000043,Brighton and Hove,"350,038.50",#660000
E07000144,Broadland,"244,733.95",#cc0000
E09000006,Bromley,"439,150.09",#330000
E07000234,Bromsgrove,"257,808.75",#b30000
E07000095,Broxbourne,"343,438.73",#660000
E07000172,Broxtowe,"167,008.31",#ff8080
E10000002,Buckinghamshire,"396,341.98",#330000
E07000117,Burnley,"75,197.22",#ffe6e6
E08000002,Bury,"153,272.24",#ff8080
W06000018,Caerphilly,"119,311.92",#ffcccc
E08000033,Calderdale,"127,898.26",#ffb3b3
E07000008,Cambridge,"426,596.39",#330000
